,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,zipcode,province,region,gender,language,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
7256,108739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790.0,4.0,2.0,0.0,3.0,4.0,16.96,0.0,0.0,4.0,16.96,0.0,0.0,0,77.0
7257,108740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,1.0,2.0,1.0,3.0,14.0,123.78,0.0,0.0,14.0,123.78,0.0,0.0,0,60.0
7258,108741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.0,4.0,2.0,0.0,3.0,10.0,96.98,0.0,0.0,10.0,96.98,0.0,0.0,0,39.0
7259,108743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,1.0,2.0,0.0,3.0,2.0,24.78,0.0,0.0,2.0,24.78,0.0,0.0,0,88.0
7260,108744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8020.0,12.0,2.0,0.0,3.0,5.0,79.5,1.0,34.01,4.0,45.49,0.0,0.0,0,33.0
7261,108745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,3.0,2.0,0.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,29.0
7262,108746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510.0,12.0,2.0,0.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,55.0
7263,108747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8210.0,12.0,2.0,1.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,41.0
7264,108748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800.0,1.0,2.0,1.0,3.0,10.0,222.37599999999998,0.0,0.0,10.0,222.37599999999998,0.0,0.0,0,46.0
7265,108749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2820.0,1.0,2.0,0.0,3.0,6.0,119.65,0.0,0.0,6.0,119.65,0.0,0.0,0,58.0
7266,108751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,2.0,1.0,1.0,3.0,15.0,572.27,0.0,0.0,15.0,572.27,0.0,0.0,0,48.0
7267,108753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9190.0,3.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,34.0
7268,108754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3001.0,4.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,51.0
7269,108755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570.0,4.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,53.0
7270,108756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8680.0,12.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,68.0
7271,108757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350.0,4.0,2.0,0.0,3.0,10.0,248.74,0.0,0.0,10.0,248.74,0.0,0.0,0,43.0
7272,108758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,1.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,66.0
7273,108760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,4.0,2.0,1.0,3.0,2.0,54.54,0.0,0.0,2.0,54.54,0.0,0.0,0,27.0
7274,108762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090.0,4.0,2.0,0.0,3.0,1.0,49.58,0.0,0.0,1.0,49.58,0.0,0.0,0,50.0
7275,108763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.0,1.0,2.0,0.0,3.0,12.0,970.5899999999999,1.0,50.0,11.0,920.5899999999999,0.0,0.0,0,40.0
7276,108764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3630.0,7.0,2.0,0.0,3.0,4.0,161.13,0.0,0.0,4.0,161.13,0.0,0.0,0,29.0
7277,108765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8730.0,12.0,2.0,0.0,3.0,2.0,111.55,0.0,0.0,2.0,111.55,0.0,0.0,0,84.0
7278,108766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600.0,12.0,2.0,0.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,69.0
7279,108767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8020.0,12.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,65.0
7280,108768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8820.0,12.0,2.0,1.0,3.0,34.0,2743.9399999999996,1.0,247.89,33.0,2496.0499999999997,0.0,0.0,0,51.0
7281,108769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,1.0,2.0,0.0,3.0,2.0,54.96,1.0,50.0,1.0,4.96,0.0,0.0,0,36.0
7282,108770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0,3.0,2.0,0.0,3.0,5.0,40.989999999999995,0.0,0.0,5.0,40.989999999999995,0.0,0.0,0,60.0
7283,108771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600.0,12.0,2.0,1.0,3.0,1.0,6.2,0.0,0.0,1.0,6.2,0.0,0.0,0,45.0
7284,108772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.0,7.0,2.0,1.0,3.0,6.0,66.92,0.0,0.0,6.0,66.92,0.0,0.0,0,68.0
7285,108773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9100.0,3.0,2.0,1.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,65.0
7286,108774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3293.0,4.0,2.0,0.0,3.0,31.0,385.85,1.0,10.0,30.0,375.85,25.0,2.0,0,42.0
7287,108776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1180.0,2.0,1.0,0.0,3.0,1.0,14.87,0.0,0.0,1.0,14.87,0.0,0.0,0,53.0
7288,108777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.0,4.0,2.0,1.0,2.0,1.0,14.87,0.0,0.0,1.0,14.87,0.0,0.0,0,58.0
7289,108778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9150.0,3.0,2.0,0.0,3.0,1.0,14.87,0.0,0.0,1.0,14.87,0.0,0.0,0,55.0
7290,108779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933.0,4.0,2.0,1.0,3.0,4.0,59.87,0.0,0.0,4.0,59.87,0.0,0.0,0,43.0
7291,108780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,3.0,2.0,1.0,3.0,3.0,74.438,0.0,0.0,3.0,74.438,0.0,0.0,1,42.0
7292,108781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960.0,1.0,2.0,1.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,46.0
7293,108782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.0,2.0,1.0,0.0,2.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,0,26.0
7294,108783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8490.0,12.0,2.0,1.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,37.0
7295,108784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9140.0,3.0,2.0,0.0,3.0,5.0,124.72,1.0,12.39,4.0,112.33,0.0,0.0,0,71.0
7296,108785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9051.0,3.0,2.0,1.0,3.0,16.0,778.1099999999999,0.0,0.0,16.0,778.1099999999999,0.0,0.0,0,48.0
7297,108786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900.0,1.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,58.0
7298,108787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512.0,7.0,2.0,1.0,3.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,0,47.0
7299,108788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9980.0,3.0,2.0,0.0,3.0,8.0,217.95,0.0,0.0,8.0,217.95,0.0,0.0,0,44.0
7300,108789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.0,7.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,60.0
7301,108790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200.0,3.0,2.0,0.0,3.0,2.0,49.58,0.0,0.0,2.0,49.58,0.0,0.0,0,53.0
7302,108791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200.0,12.0,2.0,1.0,3.0,8.0,229.37,0.0,0.0,8.0,229.37,0.0,0.0,0,28.0
7303,108792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8430.0,12.0,2.0,0.0,3.0,12.0,339.6,0.0,0.0,12.0,339.6,20.0,1.0,0,35.0
7304,108794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3910.0,7.0,2.0,1.0,3.0,1.0,27.27,0.0,0.0,1.0,27.27,0.0,0.0,0,84.0
7305,108795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400.0,12.0,2.0,1.0,3.0,15.0,506.71000000000004,0.0,0.0,15.0,506.71000000000004,0.0,0.0,0,41.0
7306,108796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9970.0,3.0,2.0,0.0,3.0,2.0,34.96,1.0,30.0,1.0,4.96,0.0,0.0,0,26.0
7307,108797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150.0,4.0,2.0,0.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,30.0
7308,108798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.0,1.0,2.0,1.0,3.0,9.0,188.73000000000002,0.0,0.0,9.0,188.73000000000002,0.0,0.0,0,49.0
7309,108799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150.0,4.0,2.0,1.0,3.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,0,33.0
7310,108800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9230.0,3.0,2.0,1.0,3.0,3.0,29.740000000000002,0.0,0.0,3.0,29.740000000000002,0.0,0.0,0,63.0
7311,108801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8210.0,12.0,2.0,0.0,3.0,2.0,24.78,0.0,0.0,2.0,24.78,0.0,0.0,0,48.0
7312,108802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850.0,12.0,2.0,1.0,3.0,1.0,18.59,0.0,0.0,1.0,18.59,0.0,0.0,0,47.0
7313,108803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3640.0,7.0,2.0,1.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,51.0
7314,108804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,2.0,1.0,1.0,2.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,50.0
7315,108805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160.0,3.0,2.0,1.0,3.0,11.0,277.9,0.0,0.0,11.0,277.9,0.0,0.0,0,43.0
7316,108807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1755.0,4.0,2.0,0.0,3.0,7.0,178.73999999999998,0.0,0.0,7.0,178.73999999999998,0.0,0.0,0,35.0
7317,108808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020.0,1.0,2.0,1.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,65.0
7318,108809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8691.0,12.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,38.0
7319,108810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,4.0,2.0,0.0,3.0,4.0,99.37,0.0,0.0,4.0,99.37,0.0,0.0,0,72.0
7320,108811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400.0,12.0,2.0,1.0,3.0,6.0,173.37,0.0,0.0,6.0,173.37,39.0,1.0,0,82.0
7321,108813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3211.0,4.0,2.0,0.0,3.0,1.0,24.79,0.0,0.0,1.0,24.79,0.0,0.0,0,36.0
7322,108814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920.0,7.0,2.0,0.0,3.0,12.0,311.15999999999997,0.0,0.0,12.0,311.15999999999997,0.0,0.0,0,72.0
7323,108815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8490.0,12.0,2.0,0.0,3.0,5.0,110.86,0.0,0.0,5.0,110.86,0.0,0.0,0,39.0
7324,108817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9200.0,3.0,2.0,1.0,3.0,19.0,1037.87,0.0,0.0,19.0,1037.87,0.0,0.0,0,52.0
