,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,Unnamed: 0_x,zipcode,province,region,gender,language,Unnamed: 0_y,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,Age
22991,101810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809,3130.0,4,2,1.0,3,16008.0,3.0,15.0,0.0,0.0,3.0,15.0,15.0,3.0,48
22992,139014,7005.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,39013,9100.0,3,2,0.0,3,206405.0,6.0,95.0,0.0,0.0,6.0,95.0,30.0,2.0,27
22993,131404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31403,8800.0,12,2,1.0,3,184418.0,2.0,70.0,0.0,0.0,2.0,70.0,0.0,0.0,45
22994,122158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22157,9000.0,3,2,0.0,3,147825.0,9.0,307.39,0.0,0.0,9.0,307.39,81.0,2.0,55
22995,104883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4882,3945.0,7,2,1.0,3,44187.0,5.0,223.10999999999999,0.0,0.0,5.0,223.10999999999999,0.0,0.0,55
22996,135270,7005.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,35269,7350.0,5,4,0.0,2,196884.0,2.0,69.0,0.0,0.0,2.0,69.0,39.0,1.0,64
22997,109615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9614,8500.0,12,2,0.0,3,79669.0,62.0,1661.6,2.0,44.79,60.0,1616.81,0.0,0.0,69
22998,133057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33056,2040.0,1,2,0.0,3,190012.0,1.0,32.25,0.0,0.0,1.0,32.25,0.0,0.0,28
22999,121914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21913,8680.0,12,2,0.0,3,146708.0,5.0,59.89,0.0,0.0,5.0,59.89,10.0,1.0,78
23000,112242,7199.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,12241,7000.0,5,4,0.0,2,96457.0,3.0,56.0,0.0,0.0,3.0,56.0,30.0,1.0,74
23001,102511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,7910.0,5,4,0.0,2,21025.0,2.0,40.0,0.0,0.0,2.0,40.0,0.0,0.0,37
23002,129479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29478,3550.0,7,2,1.0,3,178129.0,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,41
23003,115849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15848,9220.0,3,2,0.0,3,116235.0,1.0,12.39,0.0,0.0,1.0,12.39,0.0,0.0,52
23004,108713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8712,9050.0,3,2,0.0,3,73389.0,12.0,82.42,0.0,0.0,12.0,82.42,0.0,0.0,49
23005,108378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8377,3570.0,7,2,0.0,3,70796.0,24.0,646.3399999999999,6.0,147.18,18.0,499.15999999999997,60.0,2.0,70
23006,140129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40128,3360.0,4,2,0.0,3,207965.0,1.0,10.0,0.0,0.0,1.0,10.0,0.0,0.0,55
23007,106306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6305,9070.0,3,2,1.0,3,55834.0,17.0,944.96,6.0,333.53,11.0,611.4300000000001,0.0,0.0,59
23008,105158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5157,8470.0,12,2,1.0,3,46305.0,1.0,14.87,0.0,0.0,1.0,14.87,0.0,0.0,31
23009,140762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40761,2275.0,1,2,0.0,3,208950.0,1.0,39.0,0.0,0.0,1.0,39.0,0.0,0.0,49
23010,115936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15935,9820.0,3,2,0.0,3,116604.0,2.0,57.04,0.0,0.0,2.0,57.04,0.0,0.0,37
23011,124716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24715,2070.0,1,2,0.0,3,159346.0,1.0,33.0,0.0,0.0,1.0,33.0,0.0,0.0,36
23012,132135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32134,5190.0,10,4,1.0,2,187149.0,2.0,30.0,0.0,0.0,2.0,30.0,20.0,1.0,37
23013,131375,7243.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,31374,3018.0,4,2,0.0,3,184315.0,8.0,270.0,0.0,0.0,8.0,270.0,120.0,3.0,39
23014,143261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43260,9831.0,3,2,0.0,3,213321.0,1.0,41.0,0.0,0.0,1.0,41.0,41.0,1.0,55
23015,119804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19803,3730.0,7,2,0.0,3,136160.0,3.0,106.6,0.0,0.0,3.0,106.6,0.0,0.0,66
23016,113108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13107,2140.0,1,2,0.0,3,101957.0,14.0,988.4399999999999,2.0,202.0,12.0,786.4399999999999,0.0,0.0,62
23017,119137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19136,2920.0,1,2,1.0,3,132882.0,8.0,301.78999999999996,0.0,0.0,8.0,301.78999999999996,0.0,0.0,51
23018,118441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18440,3500.0,7,2,0.0,3,129920.0,1.0,37.18,0.0,0.0,1.0,37.18,0.0,0.0,74
23019,100171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,6020.0,5,4,0.0,2,906.0,1.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,30
23020,115266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15265,3620.0,7,2,1.0,3,113278.0,6.0,180.51999999999998,0.0,0.0,6.0,180.51999999999998,30.0,1.0,80
