,donorID,campaignID,frequency_donor,total_donated,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,total_amount_1_month,total_freq_1_month,total_amount_2_month,total_freq_2_month,total_amount_3_month,total_freq_3_month,total_amount_4_month,total_freq_4_month,total_amount_5_month,total_freq_5_month,total_amount_6_month,total_freq_6_month,Recency_dono,total_donated_during_dv,gender,dateOfBirth,province_Brussels,province_East Flanders,province_Flemish Brabant,province_Hainaut,province_Liege,province_Limburg,province_Luxembourg,province_Missing,province_Namur,province_Walloon Brabant,province_West Flanders,region_Flanders,region_Missing,region_Wallonia,language_FR,language_NL,total_freq_till_now,total_amount_till_now,freq_out_campaign,amount_out_campaign,freq_in_campaign,amount_in_campaign,total_amount_till_last_3_years,total_freq_till_last_3_years,donated_more_than30_duringdv,Age
5353,112347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1985-08-03,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,8.0,241.12,0.0,0.0,8.0,241.12,0.0,0.0,0,33
5354,112350,5326.0,1.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,4.0,0.0,1976-07-18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.0,78.92500000000001,0.0,0.0,11.0,78.92500000000001,5.5,2.0,0,42
5355,112351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1979-12-22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8.0,238.6,0.0,0.0,8.0,238.6,0.0,0.0,0,39
5356,112353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1969-11-05,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,6.0,225.74,0.0,0.0,6.0,225.74,0.0,0.0,0,49
5357,112354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1984-08-29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,9.0,235.0,1.0,5.3,8.0,229.7,0.0,0.0,0,34
5358,112355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1953-01-23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,108.21000000000001,0.0,0.0,3.0,108.21000000000001,0.0,0.0,0,66
5359,112357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1960-11-09,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3.0,97.18,0.0,0.0,3.0,97.18,0.0,0.0,0,58
5360,112360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1963-11-16,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5.0,148.74,3.0,74.37,2.0,74.37,0.0,0.0,0,55
5361,112361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1977-11-04,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.0,134.78,0.0,0.0,9.0,134.78,0.0,0.0,0,41
5362,112362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1954-07-20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.0,60.0,0.0,0.0,4.0,60.0,0.0,0.0,0,64
